variant,episode,success,peak_force_N,mean_contact_force_N,peak_torque_Nm,insertion_time_steps,jamming,jamming_steps,position_error_m,orientation_error_deg,peg1_lateral_error_m,peg2_lateral_error_m,peg1_insertion_depth_m,peg2_insertion_depth_m
A_fixed_impedance,0,0,0.0,0.0,0.0,600,0,0,0.012229726576505916,0.36997178785255114,0.0017350385203261168,0.0017919737101026508,0.05001435451770372,0.05074796595516395
A_fixed_impedance,1,0,0.0,0.0,0.0,600,0,0,0.012232003204724399,0.3673837079389614,0.001822071431838872,0.0018817512522298632,0.050019435727731536,0.050747469351121614
A_fixed_impedance,2,0,1109.0288711450999,28.068143931109287,0.0,600,1,564,0.039581504910486065,0.7425190707130306,0.013512498937750453,0.01368461504742747,0.0,5.055213973747391e-05
A_fixed_impedance,3,0,0.0,0.0,0.0,600,0,0,0.012232490965494783,0.3688110220473764,0.0018110560929550392,0.0018730609631806838,0.050019413045134985,0.05074849590456131
A_fixed_impedance,4,0,2726.4452562572233,33.14701660845837,0.0,600,1,546,0.03826586286643586,0.443502069159662,0.005310402796441704,0.005084403793648523,0.00014924991593256304,0.0001444382782972084
A_fixed_impedance,5,0,1409.9877257167846,29.958211349471846,0.0,600,1,564,0.0407408300565342,0.43515817856799494,0.015211016131302166,0.01555253661632624,0.0,0.0
A_fixed_impedance,6,0,3800.783346114277,37.11720237119525,0.0,600,1,562,0.0391863205608345,0.09302609859225547,0.009619350938630655,0.009637673286977039,2.210887340030332e-06,2.7932907208726154e-05
A_fixed_impedance,7,0,0.0,0.0,0.0,600,0,0,0.012232588439129865,0.37096564874775056,0.0017647782494765098,0.0018301932202877535,0.05001727769840308,0.0507506348634199
A_fixed_impedance,8,0,0.0,0.0,0.0,600,0,0,0.012233768431548213,0.3679470286467285,0.0018213641664631072,0.0018824270675811855,0.0500222690000806,0.05074825849432351
A_fixed_impedance,9,0,2593.963098655222,44.230901207986896,0.0,600,1,575,0.0405038601250395,0.08474325290333412,0.013593424148541039,0.013619656573548326,1.9489898304241027e-05,0.0
A_fixed_impedance,10,0,462.87965764951656,27.23689913324695,0.0,600,1,566,0.039956334103410616,0.40876123109871404,0.012887384667560517,0.013060571053293448,3.266298529445988e-06,0.0
A_fixed_impedance,11,0,0.0,0.0,0.0,600,0,0,0.01221116469260171,0.36943033194491487,0.0017712538429315377,0.0018334051457100087,0.049996769675609946,0.050728479652855145
A_fixed_impedance,12,0,1111.9935131112213,29.382772828377917,0.0,600,1,563,0.040055013112602074,0.25949418347045483,0.013197225125466743,0.013198495133632925,0.0,3.1356778829504106e-05
A_fixed_impedance,13,0,671.2150717497337,28.739063252154168,0.0,600,1,574,0.04203380672471539,0.11061385513570152,0.017432812141622404,0.017466344812828778,1.901501228007002e-05,0.0
A_fixed_impedance,14,0,0.0,0.0,0.0,600,0,0,0.012182303484922347,0.36708370941216534,0.0018062943450688153,0.0018641038497509627,0.049971149862421065,0.050696595759597195
A_fixed_impedance,15,0,0.0,0.0,0.0,600,0,0,0.012192647932370732,0.36951862241664896,0.0017748842711871628,0.0018351736393789383,0.04997910425765761,0.05070929522548869
A_fixed_impedance,16,0,0.0,0.0,0.0,600,0,0,0.012219691084794612,0.36885599290625665,0.001798334052529937,0.0018603262050727576,0.050006529958315525,0.05073584920473858
A_fixed_impedance,17,0,0.0,0.0,0.0,600,0,0,0.012157567247371675,0.3682445677735762,0.0017861805235484323,0.0018431466771716425,0.04994540402325067,0.050672906707707153
A_fixed_impedance,18,0,2081.263935619612,33.564341623450154,0.0,600,1,546,0.035057193245799464,0.18061000400436922,0.004878525476041817,0.004915961635909855,0.003276319208370536,0.003394432186244016
A_fixed_impedance,19,0,2278.5674814333247,18.15837882313546,0.0,600,1,184,0.01644677294726525,0.31918615853434484,0.003243038001685312,0.0031745346562566355,0.0541572534626119,0.05473272797042849
A_fixed_impedance,20,0,0.0,0.0,0.0,600,0,0,0.0121615693397242,0.36984950686509827,0.0017863355845550005,0.0018508942909090447,0.049946603697920304,0.050679227189675095
A_fixed_impedance,21,0,1626.5007034633923,30.061297594537233,0.0,600,1,568,0.03952825116107233,0.8064239884874994,0.013418611684561797,0.013240923733543472,6.77545816766198e-05,6.689709616777145e-05
A_fixed_impedance,22,0,0.0,0.0,0.0,600,0,0,0.012159171893997367,0.37035921474088995,0.001780980124230507,0.0018451583328191383,0.049944496849807944,0.05067670820563521
A_fixed_impedance,23,0,0.0,0.0,0.0,600,0,0,0.012196718399142685,0.36890560476131296,0.001787379424902023,0.001848093332375572,0.049983895715676234,0.05071265787057488
A_fixed_impedance,24,0,0.0,0.0,0.0,600,0,0,0.012232330650831203,0.3680797989084547,0.0018348312563122504,0.0018989150283268109,0.050020346773834205,0.050746999824212484
A_fixed_impedance,25,0,0.0,0.0,0.0,600,0,0,0.012238264260914141,0.3708211856615562,0.0017306979814402262,0.0017928996360211428,0.050022294020777784,0.0507568628479191
A_fixed_impedance,26,0,482.77774875390236,27.0314905894463,0.0,600,1,571,0.04033520095681513,0.7739578804776465,0.015679863924506245,0.015502946824506512,9.569748803221756e-06,0.0
A_fixed_impedance,27,0,0.0,0.0,0.0,600,0,0,0.012194137380005403,0.3686942159878533,0.001801984460945546,0.0018627125683039502,0.04998094394461788,0.05071034223298689
A_fixed_impedance,28,0,668.1688073514645,27.87767479372287,0.0,600,1,567,0.03992404943415849,0.24271085784221558,0.012200058650405427,0.012098884208612081,2.5436357262591247e-05,0.0
A_fixed_impedance,29,0,2806.094342084867,32.037037441666094,0.0,600,1,561,0.040246262776921345,0.08602544253514563,0.012598890677213702,0.012580264055869792,2.278309681998797e-05,5.492571797903467e-06
A_fixed_impedance,30,0,977.7939082507991,29.058822442135224,0.0,600,1,571,0.04121250599534441,0.10803427688423964,0.015441386536356192,0.015381254815552246,2.290524904435126e-05,0.0
A_fixed_impedance,31,0,1074.8701492171117,27.54952195699955,0.0,600,1,572,0.03932195280047498,0.845783475167579,0.013048025495421053,0.013204795022972731,6.20443849855476e-05,7.385719567786636e-05
A_fixed_impedance,32,0,0.0,0.0,0.0,600,0,0,0.012220627231546247,0.3675705488649006,0.0017971746486301209,0.0018563999286273288,0.0500089423603589,0.05073546193278052
A_fixed_impedance,33,0,0.0,0.0,0.0,600,0,0,0.012225215073992296,0.36732864033356366,0.0018170991047053145,0.0018794880172959205,0.05001390891233217,0.05073948119307108
