episode,step,stage,stage_index,success,contact,jamming,Kx,Ky,Kz,Krx,Kry,Krz,Dx,Dy,Dz,Drx,Dry,Drz,Fx,Fy,Fz,Tx,Ty,Tz,peg1_lateral_error,peg2_lateral_error,peg1_depth,peg2_depth,relative_position_error,relative_orientation_error,agent1_action,impedance_action
0,12,COMPLIANT_ALIGNMENT,7,0,0,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.013733167776425026,0.013751783715686802,0.0,0.0,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,13,COMPLIANT_ALIGNMENT,7,0,1,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,1633.7277821881971,245.3950852096358,163.98540653376776,0.0,0.0,0.0,0.014019405237874582,0.0140320224352294,0.00012218807489610545,0.0021941301263365617,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,14,COMPLIANT_ALIGNMENT,7,0,1,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,487.32851405101354,340.7458288349196,1.6541129979814517,0.0,0.0,0.0,0.013945563973113022,0.013956150850504112,0.00019198281066811623,0.0016389066800763172,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,15,COMPLIANT_ALIGNMENT,7,0,1,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,198.11578275887015,117.85120607349299,-23.49176176479642,0.0,0.0,0.0,0.01395441749612851,0.01394622314301194,0.0,0.0007410880222785063,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,16,COMPLIANT_ALIGNMENT,7,0,1,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,62.643545620938575,-0.37774931464030126,-43.84885484658599,0.0,0.0,0.0,0.01444122931525105,0.01442108315708893,0.0,0.0,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,17,COMPLIANT_ALIGNMENT,7,0,0,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.016033716507977108,0.016022829213309688,0.0,0.0,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,18,COMPLIANT_ALIGNMENT,7,0,0,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.017096664129158733,0.017095009957666565,0.0,0.0,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,19,COMPLIANT_ALIGNMENT,7,0,1,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,161.57189824048152,1.7558451222930032,19.027315648582245,0.0,0.0,0.0,0.01772762276224234,0.01773008292067617,0.0,4.252917038454623e-05,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,20,COMPLIANT_ALIGNMENT,7,0,1,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,110.70569795219075,3.7480526705379273,9.67467710500382,0.0,0.0,0.0,0.017774301922628407,0.017773224693754093,0.0,0.00017332941177088806,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
0,21,COMPLIANT_ALIGNMENT,7,0,1,0,360.0,360.0,520.0,60.0,60.0,44.0,4.4,4.4,5.5,1.54,1.54,1.1,98.14462167921451,4.680513289951731,3.6382337739964856,0.0,0.0,0.0,0.017773125959986626,0.017768170731353863,0.0,0.00015346662524703264,0.0,0.0,"[0,0,0,0,0,0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
