step,assembly_stage,stage_index,contact,jamming,success,dx,dy,dz,droll,dpitch,dyaw,Kx,Ky,Kz,Krx,Kry,Krz,Dx,Dy,Dz,Drx,Dry,Drz,Fx,Fy,Fz,Tx,Ty,Tz,peg1_lateral_error,peg2_lateral_error,peg1_insertion_depth,peg2_insertion_depth,relative_position_error,relative_orientation_error,agent1_reward,agent2_reward
22,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,9.155229592495344e-05,4.59061028066572e-05,0.014907374102066738,0.014875959503770873,0.03141773529818334,0.06037834733633063,3.2654582451333862,-0.019999999999999997
23,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,9.655339808985384e-05,4.014406667570853e-05,0.02328663267283026,0.023254790580780386,0.023108420703818397,0.06304229949919982,5.213842094337813,0.0
24,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0001013431373785271,3.481811434686342e-05,0.031702297103373626,0.03167009097416817,0.014729474384621775,0.06517953792189028,7.170845053568558,0.0
25,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00010575009796487148,3.0161258112944438e-05,0.04011436269819895,0.04008185554410106,0.006314365412406668,0.06672986229256798,9.127190348626426,0.0
26,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0001096458846129186,2.658452800131099e-05,0.04847610895950221,0.04844336356189032,0.0021002003431683843,0.06764358290197409,11.055249595769189,0.0
27,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011294281138710928,2.467923296736361e-05,0.05673772919722022,0.05670480839582805,0.010460243113351609,0.06788065443133283,12.91014237901992,0.0
28,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011558696732375464,2.500020694899082e-05,0.06484943738834636,0.06481640393237487,0.018721603075268965,0.06740985843892683,14.731177398134358,0.0
29,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011755458732935191,2.7677485974660026e-05,0.07276339517076677,0.07273031139574979,0.026833190861129105,0.06620523304011544,16.50762431005161,0.0
30,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011885220538447996,3.2363676622312e-05,0.08043543606858852,0.08040236318708313,0.03474709129689672,0.06424610512143984,18.22958272073419,0.0
31,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011951933840612871,3.858219531786443e-05,0.08782689730411491,0.08779389413647737,0.042419119142735266,0.06152058052210413,19.888395699338037,0.0
32,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011963348907439807,4.597078862301726e-05,0.0949067060206544,0.09487382729419949,0.04981060390166842,0.058031949607181714,21.477117284695623,0.0
33,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011931752275764316,5.43026865621533e-05,0.10165385872875787,0.10162115307749545,0.05689046777093181,0.053808851237455026,22.99107037552516,0.0
34,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011873788071860014,6.343496472544222e-05,0.10805880892063327,0.10802631926855075,0.0636377027410585,0.0489216034547075,24.42815426330978,0.0
35,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011808852018268276,7.326050228335954e-05,0.11411731740946607,0.11408508541041146,0.0700427586204017,0.043500541797124294,25.787433939803524,0.0
36,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011756601911725723,8.36606634813288e-05,0.11982312331933709,0.11979118824500229,0.07610139507790088,0.0377568478649829,27.067488884472187,0.0
37,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011734140114553812,9.449252682206104e-05,0.1251654216068291,0.12513381949036087,0.08180734971587644,0.03201997578203457,28.26586520267161,0.0
38,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011753783668880983,0.00010559906827545487,0.1301295453419807,0.13009830903312802,0.087149815642884,0.026789990823707373,29.37924049616721,0.0
39,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011822103737824922,0.0001168263311777893,0.13469851661790525,0.1346676758122994,0.09211412416978572,0.0228090820419497,30.40377369031002,0.0
40,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00011940224656122423,0.00012803964324608626,0.13885428475733513,0.13882386599137306,0.09668329568620061,0.021000025623545103,31.335383302603894,0.0
41,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00012105059216244287,0.00013913512996967822,0.14257877610604103,0.14254880286303342,0.10083927784007048,0.02191780986500775,32.16999662097928,0.0
42,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0001231102179191158,0.000150044442854825,0.1458551334174616,0.14582562634527435,0.10456399538230277,0.025180969459142378,32.90384351782985,0.0
43,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00012551674672034495,0.00016073221850437677,0.14866897948078134,0.14863995664472235,0.10784058960485521,0.029931986778767128,33.53372816090634,0.0
44,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0001282089724012672,0.0001711880997915299,0.15100918948251252,0.15098066657380588,0.11065468198391326,0.03550023402420441,34.05718310796976,0.0
45,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00013113466826982235,0.00018141521556423666,0.15286800655528965,0.15283999711409296,0.11299514651567899,0.04151151644646003,34.47248980812253,0.0
46,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00013425221155717248,0.00019142113711616415,0.15424096748670196,0.15421348321910083,0.11485422526662112,0.04777834162578945,34.77866410160568,0.0
47,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00013753028258606416,0.0002012128974700146,0.15512605376389496,0.15509910469819294,0.11622745412428813,0.05420806868606189,34.97526489838143,0.0
48,INSERTION,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00014094722705599165,0.0002107940575990804,0.1555226440491073,0.15549623871852009,0.11711281376158646,0.060753528391680835,35.06215946446557,0.0
49,SUCCESS,9,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,145.98000000000002,145.98000000000002,463.45,23.025000000000002,23.025000000000002,16.885,4.12,4.12,5.324999999999999,1.4909999999999999,1.4909999999999999,1.065,0.0,0.0,0.0,0.0,0.0,0.0,0.00014449003889683296,0.00022016263934819793,0.15543069528158143,0.15540484092923953,0.11750968212711851,0.06738784891285758,285.0393411215432,250.0
