mode,episodes,insertion_time_s_mean,peak_contact_force_N_mean,rms_contact_force_N_mean,peak_torque_Nm_mean,target_translation_displacement_m_mean,target_rotation_displacement_deg_mean,target_peak_linear_velocity_mps_mean,target_peak_angular_velocity_dps_mean,relative_final_position_error_m_mean,relative_final_orientation_error_deg_mean,final_insertion_depth_m_mean,success_rate,jam_rate
fixed,100,1.2,6.024065004996878,0.5605197111572178,0.12192255387643319,0.0,0.0,0.0,0.0,0.00022686764549986323,0.10953587744935582,0.030020689000035135,100.0,0.0
floating_zero_velocity,100,6.712960000000001,13.95218416280478,1.0658469451306203,0.32812721778088905,0.06982659428274342,0.1322845785846648,0.025591328158491442,1.8598583317415491,0.00568815140181487,1.8735077952573371,0.026320611398579982,51.0,19.0
floating_random_velocity,100,6.004,10.834936118213395,0.9153153497757471,0.24252913986016408,0.049978310687863826,0.09942839188168014,0.022327001698675963,1.7318556735455417,0.005763144792536236,1.414060231008856,0.020866398453535065,56.00000000000001,12.0
