episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
0,910.495480912972,250.11539184568252,1160.6108727586545,True,0.0,0.0,False,50,-1.0,0.13919492065906525,0.15000000596046448,0.949999988079071,16.88500019013882,482.29999101161957,0.9600000083446503,5.324999958276749
1,904.3702378498082,250.11539184568252,1154.4856296954906,True,0.0,0.0,False,48,-1.0,0.5310184359550476,0.15000000596046448,0.949999988079071,16.88500019013882,482.29999101161957,0.9600000083446503,5.324999958276749
2,6006.524014953742,258.96194039318107,6265.485955346923,True,0.0,0.0,False,483,-1.0,0.8696173429489136,0.15000000596046448,0.949999988079071,16.88500019013882,482.29999101161957,0.9600000083446503,5.324999958276749
