variant,episode,success,peak_force_N,mean_contact_force_N,peak_torque_Nm,insertion_time_steps,jamming,jamming_steps,position_error_m,orientation_error_deg,peg1_lateral_error_m,peg2_lateral_error_m,peg1_insertion_depth_m,peg2_insertion_depth_m
A_fixed_impedance,0,0,923.1367949232389,26.872089032133236,0.0,1600,1,1566,0.03880132241798365,0.7273306707732582,0.010867318860000391,0.010859818893024826,0.0001074332835548572,9.368250861712529e-05
A_fixed_impedance,1,0,1065.3982584693667,28.993238316512123,0.0,1600,1,1564,0.04114851763445437,0.014097247605424886,0.015851528750831703,0.015850917255967874,2.6353534530003386e-05,0.0
B_unconditioned_agent2,0,0,1385.6745125086527,27.110782696939985,0.0,1600,1,1577,0.039775107654522066,0.7994803018413308,0.014702858498682102,0.014695594852329373,5.363933083504108e-05,4.143185411713962e-05
B_unconditioned_agent2,1,0,747.5202109424943,28.105044377197117,0.0,1600,1,1564,0.04422551292390285,0.05733150303331133,0.022721877363159452,0.022723474024456024,2.2380070714943245e-05,0.0
C_prior_condition,0,0,1382.4386072894115,27.13897298568264,0.0,1600,1,1577,0.03989658929724971,0.8096867349091044,0.015119766427211783,0.0151120283367011,4.658405020751405e-05,3.496841483582175e-05
C_prior_condition,1,0,747.5380834121928,28.105375789311182,0.0,1600,1,1564,0.04422517194045659,0.05733345196153324,0.022721213973201083,0.02272281080720098,2.2380042732882133e-05,0.0
D_full_A2PO,0,0,1382.4341204263478,27.095126920737595,0.0,1600,1,1575,0.039978380015386464,0.8162957387474836,0.015392137643809,0.015385750566837818,4.1084329977618406e-05,3.0223723322418683e-05
D_full_A2PO,1,0,747.5234300644506,28.103890509431377,0.0,1600,1,1564,0.04422486861494283,0.05732993568277502,0.02272061857380762,0.02272221563736858,2.2380085721800114e-05,0.0
