seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
41000000,a2po,1,209,1.672,0.061639927573048356,0.06120160320776284,0.0614207653904056,0.06120160320776284,0.0008257056448273578,0.0006865063492264326,0.0007561059970268953,0.0008257056448273578,0.6138208356625341,0.0,0.0,0.0,0.0,5,0.04240366094188684,0.05602142959833145,0.07626569131166455,0.09902507066726685,0.49771182531375063,0.6680820567185799,0.6325269763549549,0.867922136087737,0.890588394477607,0.8870689461105749,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000001,a2po,1,346,2.7680000000000002,0.03745340130452933,0.03717499580736508,0.037314198555947205,0.03717499580736508,0.0008955781609844335,0.000964009199864883,0.0009297936804246583,0.000964009199864883,0.5828789191342962,0.0,0.0,0.0,0.0,6,0.038631877086712105,0.05585124343633652,0.08249640191576815,0.09915725141763687,0.496084005501918,0.6818413543218822,0.6186889459976571,0.8816354254077625,0.8832081985266912,0.8749447411539927,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000002,a2po,1,206,1.6480000000000001,0.06117105504887721,0.060829710322813674,0.06100038268584544,0.060829710322813674,0.00029736635973525165,0.00033259324287195774,0.0003149798013036047,0.00033259324287195774,0.6111809673362927,0.0,0.0,0.0,0.0,6,0.041754267479121254,0.05580936372280121,0.07334135220503633,0.09912186115980148,0.4974417120796963,0.6708015050124196,0.6297440387091591,0.870698892086455,0.8892833946399319,0.8848551780853456,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000003,a2po,1,381,3.048,0.03967127646306674,0.0394319319087799,0.03955160418592332,0.0394319319087799,0.000831200032416858,0.0007553857263829416,0.0007932928793998998,0.000831200032416858,0.42308847640947306,0.0,0.0,0.0,0.0,6,0.038023495973329845,0.056067049503326416,0.0863166398556996,0.09907414764165878,0.49599031106693536,0.6825429324715782,0.6179686381122259,0.8823077189014965,0.8828020061407815,0.8742332485091342,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000004,a2po,1,352,2.816,0.03759042495727369,0.03732040119125282,0.037455413074263255,0.03732040119125282,0.000880587679048759,0.0009411813861999154,0.0009108845326243373,0.0009411813861999154,0.5732865251664155,57.245411456403325,0.16262900981932762,9.540901909400555,0.0,6,0.03869737738965672,0.05599148944020271,0.0839306019638157,0.09913722425699234,0.49610794259404595,0.6815390063619072,0.6189926486801017,0.881321010095152,0.8833339854397557,0.8751520187678662,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000005,a2po,1,254,2.032,0.05821693602452571,0.05778907465158112,0.058003005338053415,0.05778907465158112,0.0006402268819045604,0.0006719645985278041,0.0006560957402161822,0.0006719645985278041,0.2305725302162902,0.0,0.0,0.0,0.0,5,0.04247201969627085,0.05590331181883812,0.07891851829320896,0.09909097105264664,0.4968933290618611,0.675297062462709,0.6252281757320944,0.875142439847856,0.8868382533234874,0.8808139600153044,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000006,a2po,1,311,2.488,0.0380938218197136,0.03768984015492041,0.03789183098731701,0.03768984015492041,0.0007953079629620016,0.0009296333099202751,0.0008624706364411383,0.0009296333099202751,0.7741512004412644,0.0,0.0,0.0,0.0,5,0.04031974589601878,0.05602758377790451,0.08450254275077217,0.09902087599039078,0.49637497774657713,0.6792846849110349,0.6211803124265272,0.8791114141703419,0.8845264999812822,0.8770292951363076,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000007,a2po,1,355,2.84,0.03738439001232588,0.03712549696318346,0.03725494348775467,0.03712549696318346,0.0008827063476668971,0.0009387519815615077,0.0009107291646142024,0.0009387519815615077,0.5994172190149697,0.0,0.0,0.0,0.0,5,0.03886416444004002,0.056043922901153564,0.08633914223649132,0.09907558560371399,0.49609746882613276,0.6815639215455929,0.6189110708908296,0.8813582704100811,0.8832760112386354,0.8750022387840378,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000008,a2po,1,208,1.6640000000000001,0.06005276025441307,0.059701686739450324,0.0598772234969317,0.059701686739450324,0.0006540786936881706,0.0006778718734469693,0.0006659752835675699,0.0006778718734469693,0.5660115656317111,62.94057706454884,0.3025989281949463,8.991511009221263,0.0,7,0.04172193994656062,0.055858395993709564,0.06765274577460681,0.09910041838884354,0.4976063933796607,0.6675626575373687,0.6328911893069744,0.8676541077976043,0.8901473300961348,0.8866763054751433,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
41000009,a2po,1,245,1.96,0.060564246953311765,0.06006904962665409,0.06031664828998293,0.06006904962665409,0.0009327636358909692,0.0009378374853685581,0.0009353005606297637,0.0009378374853685581,0.47463906520058435,0.0,0.0,0.0,0.0,6,0.04199933155762906,0.05561649799346924,0.07460907503050201,0.09907649457454681,0.4967621541753107,0.6774196323083371,0.6231787382339945,0.8772217607011601,0.8861692212065871,0.8795656462104953,0,SUCCESS,success,nominal,20260941,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260941/checkpoint_best.pt
