seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
42000000,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.011176720897559205,0.01204648465421534,0.011611602775887273,0.01204648465421534,1.0296542904559574,0.0,0.0,0.0,0.0,0,0.03612963209801819,0.05600980669260025,0.03795264289503393,0.08553022891283035,0.4815306278690696,0.664544517211616,0.6534841952845454,0.861135074235499,0.9163478964567184,0.9173195637762547,0,FIRST_CONTACT,coarse_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000001,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.008046250924146138,0.008588910299460848,0.008317580611803493,0.008588910299460848,0.7841016754884818,0.0,0.0,0.0,0.0,0,0.03285786624648608,0.05538894608616829,0.059150732023845194,0.09713733941316605,0.46991936553269625,0.6745231135189533,0.6556799832358956,0.8681041124463081,0.9278915229067206,0.9287778383120895,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000002,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.0075258640951312225,0.007261981410784971,0.007393922752958097,0.0075258640951312225,0.6676796146794604,0.0,0.0,0.0,0.0,0,0.03290515524335205,0.053940046578645706,0.05711880174319958,0.10144966095685959,0.47099286507815125,0.6735277339071035,0.6554391617700458,0.8673936289176345,0.9267875336483121,0.927687041759491,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000003,a2po,1,308,2.464,0.03839862004697134,0.03810117501213395,0.03824989752955264,0.03810117501213395,0.0006761962837186088,0.0006392985773068,0.0006577474305127045,0.0006761962837186088,0.5489147485113292,0.0,0.0,0.0,0.0,5,0.03792863978260475,0.05389015004038811,0.07945080204298358,0.10538293421268463,0.4662803230541093,0.6813724869257444,0.6594303736051956,0.8762245389161172,0.9327255204900519,0.9330712959363863,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000004,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.008308011006083159,0.008621938910418793,0.008464974958250975,0.008621938910418793,0.755281363814169,0.0,0.0,0.0,0.0,0,0.03326640617480734,0.05542265623807907,0.05477742506598588,0.09943687170743942,0.4718956380710006,0.6726829309016467,0.6552234058827162,0.8667535704374313,0.9258550284430385,0.9267732734978199,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000005,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.012430752129744838,0.012234764910288512,0.012332758520016675,0.012430752129744838,1.0803459074545378,0.0,0.0,0.0,0.0,0,0.03815072933328338,0.05601908266544342,0.01657020983264374,0.08392568677663803,0.4942129579000175,0.6544833464175462,0.6514962117746472,0.8545237219333649,0.9041451824828982,0.9050253365188837,0,FIRST_CONTACT,coarse_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000006,a2po,1,346,2.7680000000000002,0.03777457960569501,0.037542425202846175,0.03765850240427059,0.037542425202846175,0.0006052121457045474,0.0008966957808217323,0.0007509539632631399,0.0008966957808217323,0.3875093221677193,0.0,0.0,0.0,0.0,6,0.03656281455355357,0.05452596768736839,0.0815081028133157,0.10524138063192368,0.4710260645158029,0.677506781899171,0.6588006658705673,0.8736992302657551,0.9282462188618721,0.9285573265111515,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000007,a2po,1,283,2.2640000000000002,0.04000612265963069,0.03973869190682491,0.0398724072832278,0.03973869190682491,0.0002589630101516769,0.0002681280886738356,0.00026354554941275624,0.0002681280886738356,0.5243270281309915,0.0,0.0,0.0,0.0,5,0.038938958653620716,0.05279512703418732,0.08606289622666768,0.10576828569173813,0.4587774572650451,0.6875529640976195,0.6608889081874079,0.8806431653642823,0.939965570773337,0.9403615402248638,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000008,a2po,1,298,2.384,0.038710919473878,0.03853026096057502,0.03862059021722651,0.03853026096057502,0.00041420949935879213,0.0003393143810316336,0.0003767619401952129,0.00041420949935879213,0.5081383060519273,0.0,0.0,0.0,0.0,5,0.03827942619506495,0.053558263927698135,0.07997346300187977,0.10560409724712372,0.46209788122433143,0.6849242342798502,0.6603372561051541,0.8788812030481812,0.9367471373321226,0.93711996178499,0,SUCCESS,success,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
42000009,a2po,0,1600,12.8,0.0,0.0,0.0,0.0,0.007963905164187268,0.008610285149874981,0.008287095157031125,0.008610285149874981,0.7311810766462759,0.0,0.0,0.0,0.0,0,0.03247723069624044,0.055561959743499756,0.05974900838613394,0.09726693481206894,0.4695705654658377,0.6748267082870006,0.6557444839179516,0.8683252722769975,0.9282395727187395,0.9291209761425853,0,FIRST_CONTACT,contact_alignment,hard,20260921,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260921/checkpoint_best.pt
