seed,variant,success,steps,completion_time_s,peg1_depth_m,peg2_depth_m,mean_depth_m,min_depth_m,peg1_lateral_error_m,peg2_lateral_error_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,peak_contact_force_N,mean_force_all_steps_N,mean_force_contact_steps_N,peak_contact_torque_Nm,contact_steps,mean_trajectory_residual_norm,peak_trajectory_residual_norm,mean_impedance_residual_norm,peak_impedance_residual_norm,mean_impedance_k_parallel,mean_impedance_k_lateral,mean_impedance_k_rotation,mean_impedance_d_parallel,mean_impedance_d_lateral,mean_impedance_d_rotation,jam,final_stage,failure_reason,setting,train_seed,checkpoint
41000000,a2po,1,207,1.6560000000000001,0.06264612417570789,0.06247691585659708,0.06256152001615248,0.06247691585659708,0.0007807320264453343,0.0007805791179034139,0.0007806555721743742,0.0007807320264453343,0.5543403807041198,0.0,0.0,0.0,0.0,5,0.006818295049296629,0.009919668547809124,0.022923304573385324,0.027747873216867447,0.5013182710334299,0.6669978683697428,0.6588575911982624,0.8506735068012551,0.8916910817657692,0.8907007327402271,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000001,a2po,1,378,3.024,0.039949276089772084,0.039822505968290886,0.039885891029031485,0.039822505968290886,0.0007475675036322415,0.0005974632725949413,0.0006725153881135914,0.0007475675036322415,0.3261275272260518,0.0,0.0,0.0,0.0,5,0.007020486761426563,0.009981627576053143,0.02457995219008317,0.027774211019277573,0.5012886726036274,0.6682632478772017,0.6594793638855061,0.8508479743407517,0.8911993607642159,0.8899658918380737,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000002,a2po,1,204,1.6320000000000001,0.06231769182525068,0.06212371199066344,0.06222070190795706,0.06212371199066344,0.0008872002862853565,0.0009086248702286731,0.0008979125782570148,0.0009086248702286731,0.5723582491044917,55.4689687082488,0.2719067093541608,7.924138386892686,0.0,7,0.00686203705046472,0.010670743882656097,0.023124844721500195,0.02770424075424671,0.501323918501536,0.6671492927799038,0.6589285436214185,0.8506938639809104,0.8916257751338622,0.8906080249477836,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000003,a2po,1,389,3.112,0.040536356880555985,0.04040098483396179,0.04046867085725889,0.04040098483396179,0.0009852330879749575,0.000862891873167399,0.0009240624805711782,0.0009852330879749575,0.3446212636421835,58.8936819928033,0.15139764008432727,8.413383141829042,0.0,7,0.0069896684035390694,0.010811245068907738,0.024450131122185668,0.02778576873242855,0.5012810746624414,0.6681681661495513,0.6594292435670573,0.8508449625846353,0.8912472795398192,0.8900210759327161,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000004,a2po,1,382,3.056,0.04021653548533273,0.040069841297204506,0.04014318839126862,0.040069841297204506,0.0008433270464604326,0.0006907483764751059,0.0007670377114677692,0.0008433270464604326,0.3415724928538791,0.0,0.0,0.0,0.0,6,0.007006251510398472,0.009922943077981472,0.024543331438646267,0.027771348133683205,0.50128525386306,0.6682372731376068,0.6594647835374503,0.8508484460296432,0.8912138130652343,0.8899814628493723,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000005,a2po,1,271,2.168,0.050364066529300644,0.050261257518296465,0.050312662023798554,0.050261257518296465,0.0007398036669587439,0.0008611821838042138,0.0008004929253814788,0.0008611821838042138,0.27712800650921854,0.0,0.0,0.0,0.0,5,0.007122148661719587,0.009987112134695053,0.02395236184923631,0.027750372886657715,0.5013090756986414,0.6677770440868785,0.6592409579956223,0.8507738212377822,0.891375139190702,0.8902401416064188,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000006,a2po,1,253,2.024,0.05989813346238926,0.05944362311726897,0.059670878289829116,0.05944362311726897,0.0008258114160867239,0.0008391642857175609,0.0008324878509021424,0.0008391642857175609,0.22081379476632285,0.0,0.0,0.0,0.0,5,0.007145159842866094,0.010089922696352005,0.02367959803213244,0.02778773568570614,0.5013104432185177,0.667569870769742,0.6591372807977699,0.8507509120839386,0.8914599717841318,0.8903590438394208,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000007,a2po,1,387,3.096,0.04042839244845599,0.04029527503596833,0.04036183374221216,0.04029527503596833,0.0009889420007597974,0.0008209237570463759,0.0009049328789030866,0.0009889420007597974,0.3600864603161621,0.0,0.0,0.0,0.0,5,0.007004884083680712,0.010069459676742554,0.024423441568086315,0.027826691046357155,0.5012821516633342,0.6681457968953352,0.6594200346821039,0.8508400713750558,0.8912537168778807,0.8900321121363677,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000008,a2po,1,267,2.136,0.05255385035690918,0.05242123690366146,0.05248754363028532,0.05242123690366146,0.0005520079140944558,0.0005906458987035588,0.0005713269063990073,0.0005906458987035588,0.12863400688549176,0.0,0.0,0.0,0.0,5,0.00711020203446795,0.009954686276614666,0.024123873680216096,0.02771957404911518,0.5013135747516646,0.6679086256562994,0.6593060616250341,0.8507866837112198,0.89131918091899,0.8901690628644678,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
41000009,a2po,1,270,2.16,0.04908622651806013,0.04900407086590042,0.049045148691980275,0.04900407086590042,0.000821710806166316,0.0009454001301138768,0.0008835554681400964,0.0009454001301138768,0.2254861792384711,0.0,0.0,0.0,0.0,6,0.007155794229496408,0.010049119591712952,0.024130858632701414,0.027692187577486038,0.5013124560868298,0.6679104290626667,0.6593063996897803,0.8507864307474207,0.8913157218032413,0.8901599641199465,0,SUCCESS,success,nominal,20260911,results/a2po_dual_panda_dynamic_vertical/formal/seed_20260911/checkpoint_best.pt
