episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
20360901,27738.317912497983,-4671.978157616724,23066.339754881257,True,98.58660859469242,0.0,True,1473,-0.9999145269393921,1.0,0.4996994137763977,0.901668906211853,0.0,277.9975092411041,0.0,39.572693943977356
20360902,-488.81506254353434,-18935.391239817236,-19424.20630236077,False,676.8632462540344,0.0,True,1600,-0.9999409317970276,1.0,0.5003032088279724,0.9016273021697998,1.0,278.0090534687042,1.0,39.588181018829346
20360903,28482.45928254677,-5584.562509087129,22897.896773459644,True,406.68601316306587,0.0,True,1427,-0.9999163746833801,1.0,0.4996941387653351,0.9016473293304443,0.0,277.996586561203,0.0,39.57663142681122
20360904,-373.72249682487154,-17993.153772001075,-18366.876268825945,False,646.6087356529338,0.0,True,1600,-0.9999342560768127,1.0,0.5003066062927246,0.9016116857528687,1.0,278.00909638404846,1.0,39.58486044406891
20360905,-927.5199229480687,-14781.113325092585,-15708.633248040653,False,59.79459791343486,0.0,True,1600,-0.9997266530990601,0.9983556270599365,0.5003933310508728,0.9016087651252747,1.0,278.00779819488525,1.0,39.570406913757324
20360906,-657.5112407522412,-16674.24510486257,-17331.756345614813,False,503.36838652204614,0.0,True,1600,-0.9999447464942932,1.0,0.5003220438957214,0.9016679525375366,1.0,278.0078411102295,1.0,39.5902498960495
20360907,4524.59285783354,-173.60634013900284,4350.986517694537,True,124.35672936945186,0.0,False,303,-0.9997361898422241,1.0,0.499680757522583,0.9015747308731079,0.0,277.98690915107727,0.0,39.56553781032562
20360908,-513.371307573835,-15244.62820571027,-15757.999513284107,False,351.7872611293835,0.0,True,1600,-0.9999337196350098,1.0,0.500385046005249,0.9016078114509583,1.0,278.00498723983765,1.0,39.57595193386078
20360909,9265.899054220128,-341.64458446447605,8924.254469755653,True,153.5314484085785,0.0,False,517,-0.9999669790267944,1.0,0.499690443277359,0.9017186760902405,0.0,277.9887866973877,0.0,39.5793958902359
20360910,-550.7846596284139,-14133.674194013693,-14684.458853642107,False,45.166031474164456,0.0,True,1600,-0.9999343752861023,1.0,0.5003936886787415,0.9016081690788269,1.0,278.0058991909027,1.0,39.56338131427765
