episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max
20360831,5633.891684854317,-509.2017192907534,5124.689965563563,True,305.176595783313,0.0,True,425,-0.9992462992668152,0.9955781102180481,0.5021101236343384,0.9013612866401672,1.0,229.1248857975006,1.0,44.38193500041962
20360832,3533.9952707637926,-185.4438303627294,3348.5514404010632,True,238.0995232958061,0.0,True,362,-0.9992530345916748,1.0,0.5021154284477234,0.9013655185699463,1.0,229.13060426712036,1.0,44.381718039512634
20360833,5677.230563799714,491.8500857853401,6169.080649585055,True,0.0,0.0,False,356,-0.9992614984512329,0.8780555725097656,0.5024704337120056,0.9013790488243103,1.0,229.1220188140869,1.0,44.283676743507385
20360834,5650.11575371858,491.84911352138613,6141.964867239966,True,0.0,0.0,False,356,-0.9992488026618958,0.9955707788467407,0.5024822354316711,0.9013733863830566,1.0,229.12301063537598,1.0,44.28696036338806
20360835,3384.564897818844,297.896726307314,3682.4616241261583,True,44.868439845357955,0.0,True,347,-0.9992562532424927,1.0,0.5023888945579529,0.9013835787773132,1.0,229.1284191608429,1.0,44.338759779930115
20360836,3434.4132036259934,495.16101529035484,3929.5742189163484,True,0.0,0.0,False,226,-0.9992437362670898,0.5814681053161621,0.5024475455284119,0.9013727903366089,1.0,229.12381649017334,1.0,44.28456753492355
20360837,2692.6668768285776,495.87363504478765,3188.540511873365,True,0.0,0.0,False,198,-0.9992625713348389,0.35026979446411133,0.5026293992996216,0.9013732671737671,1.0,229.12328958511353,1.0,44.291201531887054
20360838,5688.2457957875895,491.4186994502091,6179.664495237798,True,0.0,0.0,False,373,-0.9992383122444153,0.6181865334510803,0.5023601055145264,0.9013684988021851,1.0,229.12397146224976,1.0,44.29312914609909
20360839,2955.9989809058898,494.731318300902,3450.7302992067916,True,0.0,0.0,False,243,-0.9992275834083557,0.7671718001365662,0.5022262930870056,0.9013714790344238,1.0,229.12142992019653,1.0,44.30168658494949
20360840,6212.014413425537,490.5036540067938,6702.518067432331,True,0.0,0.0,False,409,-0.9992355108261108,0.995255708694458,0.5022674202919006,0.9013752937316895,1.0,229.12173986434937,1.0,44.294401705265045
20360841,2367.105897442699,-152.87643169559738,2214.229465747102,True,178.52013020718508,0.0,True,308,-0.9992505311965942,1.0,0.5021268129348755,0.9013707637786865,1.0,229.13302183151245,1.0,44.38150733709335
20360842,6298.235861530276,484.71403459495383,6782.94989612523,True,52.278758822470294,0.0,False,420,-0.9992284774780273,0.682439386844635,0.5021201968193054,0.9013648629188538,1.0,229.12818670272827,1.0,44.286169707775116
20360843,5692.87921761625,491.8745855160789,6184.753803132328,True,0.0,0.0,False,355,-1.0,1.0,0.5023571848869324,0.901371419429779,1.0,229.12403345108032,1.0,44.3155512213707
20360844,3467.5433177597815,248.7373154301969,3716.2806331899783,True,90.98023924051328,0.0,True,361,-0.9992541074752808,1.0,0.5023390650749207,0.9013668894767761,1.0,229.12947297096252,1.0,44.36026394367218
20360845,4984.7060377973185,161.66014884976738,5146.366186647086,True,150.64911648649024,0.0,True,414,-1.0,0.601864755153656,0.5022814273834229,0.9013544917106628,1.0,229.12457585334778,1.0,44.35147285461426
20360846,4865.656113205836,-624.278236240364,4241.377876965472,True,316.9267161563977,0.0,True,424,-0.9992528557777405,1.0,0.5023254752159119,0.9013611674308777,1.0,229.12559866905212,1.0,44.372787177562714
20360847,5798.631610618446,487.63518334362846,6286.266793962074,True,35.5500587929945,0.0,False,362,-0.9992536902427673,0.6857438683509827,0.5024104714393616,0.9013785719871521,1.0,229.12245273590088,1.0,44.293271005153656
20360848,3478.7036719888274,495.07755249207196,3973.7812244808993,True,5.3792248795522735,0.0,False,227,-1.0,0.3369240164756775,0.502432644367218,0.9013736844062805,1.0,229.12366151809692,1.0,44.29645448923111
20360849,5671.405479682873,470.95137401320534,6142.356853696078,True,79.01563567239683,0.0,False,355,-1.0,1.0,0.5017889738082886,0.9013708233833313,1.0,229.1240954399109,1.0,44.43449169397354
20360850,5394.115422618446,-2536.085444393654,2858.029978224792,True,509.48888988802645,0.0,True,447,-0.9992366433143616,0.995255708694458,0.5020957589149475,0.901361882686615,1.0,229.12415742874146,1.0,44.38498079776764
20360851,3620.7256459128644,482.35184672413084,4103.077492636995,True,64.94476816084868,0.0,False,232,-0.9992572069168091,0.26529940962791443,0.5024877190589905,0.9013727307319641,1.0,229.1247308254242,1.0,44.38160955905914
20360852,5236.276812369732,491.6635308186979,5727.94034318843,True,13.004890716479405,0.0,False,350,-0.9992587566375732,1.0,0.5023614764213562,0.9013725519180298,1.0,229.12166237831116,1.0,44.30400639772415
20360853,3483.7524397487564,494.64463665822143,3978.3970764069777,True,0.0,0.0,False,247,-0.9992349147796631,0.995255708694458,0.502150297164917,0.9013709425926208,1.0,229.12457585334778,1.0,44.286397099494934
