episode,step,stage,success,contact,jamming,Kx,Ky,Kz,Krx,Kry,Krz,Dx,Dy,Dz,Drx,Dry,Drz,Fx,Fy,Fz,Tx,Ty,Tz
0,0,LIFT,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,1,TRANSPORT,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,2,COARSE_ALIGNMENT,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,3,APPROACH,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,4,APPROACH,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,5,APPROACH,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,6,APPROACH,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,7,APPROACH,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,8,APPROACH,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
0,9,APPROACH,0,0,0,307.80000311136246,307.80000311136246,482.29999101161957,49.125,49.125,36.025,3.6999999999999997,3.6999999999999997,4.800000041723251,1.3440000116825104,1.3440000116825104,0.9600000083446503,0.0,0.0,0.0,0.0,0.0,0.0
