train_seed,setting,episodes,successes,success_rate,success_ci95_low,success_ci95_high,mean_success_completion_time_s,mean_mean_depth_m,median_mean_depth_m,mean_min_depth_m,median_min_depth_m,mean_mean_lateral_error_m,median_mean_lateral_error_m,mean_max_lateral_error_m,median_max_lateral_error_m,mean_orientation_error_deg,median_orientation_error_deg,mean_peak_contact_force_N,median_peak_contact_force_N,mean_mean_force_all_steps_N,median_mean_force_all_steps_N,mean_mean_force_contact_steps_N,median_mean_force_contact_steps_N,mean_completion_time_s,median_completion_time_s,mean_steps,median_steps,mean_jam,median_jam,mean_mean_trajectory_residual_norm,median_mean_trajectory_residual_norm,mean_peak_trajectory_residual_norm,median_peak_trajectory_residual_norm,mean_mean_impedance_residual_norm,median_mean_impedance_residual_norm,mean_peak_impedance_residual_norm,median_peak_impedance_residual_norm,mean_mean_impedance_k_parallel,median_mean_impedance_k_parallel,mean_mean_impedance_k_lateral,median_mean_impedance_k_lateral,mean_mean_impedance_k_rotation,median_mean_impedance_k_rotation,mean_mean_impedance_d_parallel,median_mean_impedance_d_parallel,mean_mean_impedance_d_lateral,median_mean_impedance_d_lateral,mean_mean_impedance_d_rotation,median_mean_impedance_d_rotation
20260901,nominal,200,200,1.0,0.9811546736227335,1.0,2.43028,0.047338269473840525,0.040483696301903016,0.04725887712749989,0.04040839882164057,0.0007825042248254026,0.000832744043746251,0.0008254157832550846,0.0008916027470584505,0.42178424878604803,0.5004638897518913,15.631553368198247,0.0,0.05359595130159051,0.0,2.4745554337487206,0.0,2.43028,2.532,303.785,316.5,0.0,0.0,0.025561615515129133,0.02439789482630154,0.04773361969739199,0.047750381752848625,0.03923685562088322,0.04014675653906804,0.06133431810885668,0.0613631047308445,0.4992723756690426,0.4992176961238839,0.669443298785707,0.6710824697517376,0.6485964948628983,0.6484194228615223,0.8329874089297569,0.8314725264587868,0.9106644153090666,0.9117563061412233,0.8962109111403508,0.8959091544547835
20260901,hard,200,100,0.5,0.43136085960389187,0.5686391403961082,2.58512,0.021372972704929518,0.017581751277857695,0.021319869177641202,0.01754655885352665,0.0048694880515704276,0.0031671331295272265,0.004997145214723236,0.0032990529523730825,0.7654512339034198,0.7221533621160018,2.1564469229379126,0.0,0.008254363190844221,0.0,0.3873651611431619,0.0,7.692559999999999,10.512,961.57,1314.0,0.0,0.0,0.024426952932692987,0.02416554817260476,0.04434115808457136,0.04555007815361023,0.02761036453577019,0.028382155893340442,0.05457061902619898,0.05794156901538372,0.4992771360585772,0.4992863151524216,0.6688443037160487,0.6694473446484228,0.6488592370675967,0.6489551745913923,0.8341668721502628,0.8342468675971031,0.9094969404402893,0.9093257089929754,0.8967570176241904,0.8969943577982485
20260901,ood,200,98,0.49,0.42156278331213176,0.5588141232154135,2.8606530612244896,0.023100374131093906,0.03582448279825897,0.023048362612402586,0.035710500223360114,0.005715708190051397,0.000940012241512855,0.005953553298228398,0.0011150094000644865,0.7739325745289727,0.6770072979239257,2.9890428802414606,0.0,0.010350172516786436,0.0,0.5284838801964963,0.0,7.92972,12.8,991.215,1600.0,0.0,0.0,0.02415080179573099,0.024446680415955203,0.04522562593221664,0.04599511809647083,0.027076645953200692,0.029751172603999967,0.053006131732836366,0.058612918481230736,0.49933282877412055,0.4993340960848663,0.666449284600966,0.6667638682511945,0.6490282162174411,0.6491131833568216,0.8361354147034175,0.8357894514873624,0.9083530590733979,0.9082290769182146,0.8971043147537006,0.8972512333721394
20260911,nominal,200,200,1.0,0.9811546736227335,1.0,2.33852,0.04924609625199226,0.05026098576345669,0.04916558471921313,0.050212379896317605,0.0007479051504542394,0.0008264815872825932,0.0007870639453872588,0.0008749310935928126,0.44648210906298685,0.4996611139489721,12.851079671942816,0.0,0.04977085967497866,0.0,1.9981650831406514,0.0,2.33852,2.168,292.315,271.0,0.0,0.0,0.006996413125238398,0.007018442703985838,0.010109056937508284,0.010012099519371986,0.02393535984124048,0.024116309223676143,0.027726307837292553,0.027731837704777718,0.5013060178151769,0.5013104589883681,0.66776786962227,0.6678987483090895,0.659234380461761,0.6593027249449785,0.8507774928344787,0.8507860838263123,0.8913854644710235,0.8913206804435072,0.890248817702703,0.8901700135793102
20260911,hard,200,104,0.52,0.4510378507281424,0.588208336216767,2.592461538461538,0.02281968020904043,0.03619089924674215,0.02275877381861437,0.0360770256125863,0.004649703665015496,0.0008773174344524349,0.004767447090427847,0.0009369956291641452,0.7060052688584634,0.6768729694995114,1.3119392820727913,0.0,0.004339797677406468,0.0,0.23834979455498362,0.0,7.49208,5.5,936.51,687.5,0.0,0.0,0.007537906701189839,0.007546929073578212,0.010061967996880411,0.009956985712051392,0.02504154296140102,0.02510139881978385,0.027369763357564806,0.027280820533633232,0.5013191994704488,0.5013177283624729,0.6686045686369053,0.6686551826386449,0.6596571452079876,0.6596761286227979,0.850845903601116,0.8508623596221621,0.8910320346503413,0.8910250692524021,0.8897726080646422,0.8897406126345995
20260911,ood,200,101,0.505,0.43627000033527485,0.5735415464009526,2.6956831683168314,0.02340459983125187,0.03648626108808705,0.023349854368842283,0.036409981859355685,0.005540199547898596,0.0009218330568429949,0.00577038982639387,0.0009922785994228352,0.7579659669527069,0.652057285992549,4.7891304781679285,0.0,0.014881649294433167,0.0,0.8349369834689445,0.0,7.6973199999999995,9.123999999999999,962.165,1140.5,0.0,0.0,0.0075271833487699415,0.007472993029589054,0.009982684217393399,0.00992986373603344,0.025066940014007822,0.02525331153126899,0.027370633725076914,0.02738470584154129,0.5013174757727455,0.5013182479761382,0.6686268779726211,0.6688007094152272,0.6596688829836534,0.6597385838441551,0.850850817239806,0.8508576035079822,0.8910278049652715,0.8910247886356437,0.8897656415756459,0.8897052366100251
20260921,nominal,200,200,1.0,0.9811546736227335,1.0,2.19152,0.0513368039737361,0.05717722599083587,0.05122472826967554,0.05703416186502462,0.0007739662958267583,0.0008371796690746368,0.0008166676721789114,0.0008785858169950191,0.5182200777456986,0.5427072472710506,9.081483809688864,0.0,0.03302990696607469,0.0,1.3715013560619342,0.0,2.19152,2.072,273.94,259.0,0.0,0.0,0.04022290589923078,0.04147797893202319,0.05532794529572129,0.055356234312057495,0.08393957832378816,0.0841660158515461,0.10531402081251144,0.10544124990701675,0.4779630179990883,0.47853056201084443,0.6707555107978638,0.6701093731681314,0.6566149321565706,0.6563698134769167,0.8679647136188486,0.8674983404609677,0.9213878897954495,0.9207766827554084,0.9216880819725026,0.9210840251225119
20260921,hard,200,102,0.51,0.44118587678458643,0.5784372166878682,2.4931764705882355,0.025209252897910258,0.03741575538034418,0.025152157134581143,0.0372664980251814,0.004672193133294098,0.0009418779630110038,0.004808135023819334,0.0009801521311831333,0.6260867040419614,0.6147316898290496,1.888807251215388,0.0,0.007375716791248394,0.0,0.3202715883380352,0.0,7.543520000000001,7.332000000000001,942.94,916.5,0.0,0.0,0.036048716405429594,0.03610712283862454,0.0545486075244844,0.0543769896030426,0.06537738597714032,0.06978510942091617,0.1003061157092452,0.10506845265626907,0.4698817513495136,0.4679409583751112,0.6763156816009935,0.677898430720933,0.6571195346819024,0.6571460578590631,0.8709408591856613,0.8716167195886373,0.928507974557117,0.9303408580238783,0.9291515035784761,0.9311237512596574
20260921,ood,200,103,0.515,0.44610849192745716,0.5833261482812249,2.7695533980582514,0.02471218090152103,0.038048001224734014,0.024661494992437548,0.03795765228754387,0.005598299132102678,0.0008904767925078617,0.005836292063636632,0.000991137828247635,0.6560222574341904,0.5901773280603667,3.0717805388402892,0.0,0.01170123979489905,0.0,0.49657233547087054,0.0,7.63432,7.628,954.29,953.5,0.0,0.0,0.036391640042590066,0.036752642368375416,0.05507905280217528,0.05525711923837662,0.06293779818452089,0.0695397144808069,0.09929144218564033,0.10466315969824791,0.4765625390382058,0.47227678688243035,0.6708786841329837,0.6737228899821639,0.6560389635925747,0.6564549111850349,0.8672482194464993,0.8687153774024502,0.9221311019241348,0.9260890712030232,0.9227095267332031,0.9269040865089273
20260931,nominal,200,200,1.0,0.9811546736227335,1.0,2.34268,0.04906218785490406,0.045731681761024476,0.04895629723509041,0.04566834710385454,0.000777625230603304,0.0008467479119694803,0.0008193677853797731,0.0008944386527780919,0.4388901238096146,0.4519316939927188,14.391525423697514,0.0,0.05355526529553525,0.0,2.25874927225131,0.0,2.34268,2.3600000000000003,292.835,295.0,0.0,0.0,0.016432107002745812,0.016062954477955374,0.03508706601336598,0.03506907820701599,0.017379642438306572,0.017661345160855157,0.021868262067437173,0.021871164441108704,0.5034765225554481,0.5035273007132306,0.6469115966689692,0.6468466167169257,0.6665085700169141,0.6667737275385499,0.8495846426187422,0.8495962648392164,0.899848791939925,0.8998779915808481,0.9025982531351336,0.9026580688385534
