episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max,curriculum,mean_depth_m,min_depth_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,mean_force_all_steps_N,failure_reason
0,3445.165106040001,499.1913346765572,3944.356440716558,True,0.0,0.0,False,215,-1.0,1.0,0.47961264848709106,0.9176309108734131,1.0,234.49759721755981,1.0,45.226271748542786,easy,0.057410013778568275,0.05732946869762681,0.0007063360462351146,0.000793174089273341,0.1264625635699384,0.0,success
1,2792.816203813618,492.4527965261022,3285.26900033972,True,58.096852343171555,0.0,False,195,-1.0,0.7025225162506104,0.4854680001735687,0.9183815717697144,1.0,233.17584037780762,1.0,45.2711096405983,easy,0.07524639376975471,0.07522649153671232,0.000704769013707603,0.0008398305509265945,1.0868251907306232,0.2979325761188285,success
2,1593.612258311468,499.2353081241204,2092.8475664355883,True,0.0,0.0,False,163,-1.0,0.43646296858787537,0.4811496436595917,0.9234303832054138,1.0,233.3627986907959,1.0,45.2151295542717,easy,0.0721011775670818,0.07192961280931708,0.0007784636586290765,0.0008111113055937822,1.2470325236763133,0.0,success
3,-249.30315513179553,-2.330531765715591,-251.63368689751113,False,0.0,0.0,False,1600,-1.0,0.38448232412338257,0.47730427980422974,0.9214687943458557,1.0,214.96970653533936,1.0,45.4582217335701,easy,0.0,0.0,0.007446956622395156,0.00751180669781958,0.7717309882091372,0.0,contact_alignment
4,-281.396312813446,-2.3586746707144273,-283.75498748416044,False,0.0,0.0,False,1600,-1.0,0.5241159200668335,0.4774165153503418,0.9203193783760071,1.0,215.49219489097595,1.0,45.440324544906616,easy,0.0,0.0,0.00832379216336505,0.008424582483248084,0.8828725521950952,0.0,contact_alignment
5,-257.67404556338704,-2.365367567124654,-260.0394131305117,False,0.0,0.0,False,1600,-1.0,0.4596540927886963,0.4776396155357361,0.9198912978172302,1.0,216.14383697509766,1.0,45.35991132259369,easy,0.0,0.0,0.007661033290953261,0.00771239398682945,0.7991731673877992,0.0,contact_alignment
6,-260.93067860303734,-2.3273116750610745,-263.2579902780984,False,0.0,0.0,False,1600,-1.0,0.74370938539505,0.4776606559753418,0.921206533908844,1.0,214.85891699790955,1.0,45.5438232421875,easy,0.0,0.0,0.007746163892879443,0.007884192253303363,0.8014744627283776,0.0,contact_alignment
7,4066.948720901393,499.1523443381412,4566.101065239534,True,0.0,0.0,False,237,-1.0,0.9997252821922302,0.47623178362846375,0.9155140519142151,1.0,233.64859819412231,1.0,45.35189628601074,easy,0.046751750837837794,0.04650880605228333,0.00031254555884300064,0.0003249491682087123,0.5892149324069431,0.0,success
8,2462.6109205777293,499.2233812958256,2961.834301873555,True,0.0,0.0,False,186,-1.0,0.5767225027084351,0.48261240124702454,0.9237902164459229,1.0,233.68363738059998,1.0,45.36126106977463,easy,0.07498427880917505,0.07491959390436931,0.0008281576887593223,0.000931811960818862,1.129824696164397,0.0,success
9,-237.62400549310462,-2.350261754357282,-239.9742672474619,False,0.0,0.0,False,1600,-1.0,0.28642499446868896,0.4777534008026123,0.9249578714370728,1.0,215.68167924880981,1.0,45.46698570251465,easy,0.0,0.0,0.007095489183219297,0.007173302998501099,0.7466428009958704,0.0,contact_alignment
10,-239.95947173906805,-2.3691718622815707,-242.32864360134963,False,0.0,0.0,False,1600,-1.0,0.5823333263397217,0.477058082818985,0.9240444898605347,1.0,215.9827744960785,1.0,45.46181619167328,easy,0.0,0.0,0.007148791561134768,0.007245166186011875,0.7428953364547572,0.0,contact_alignment
11,3157.8833601558217,499.193739999658,3657.07710015548,True,0.0,0.0,False,205,-1.0,0.9881593585014343,0.48176848888397217,0.9172747135162354,1.0,233.7709641456604,1.0,45.21062970161438,easy,0.06576656143906565,0.06570352999726867,0.0005898285521873476,0.0007461509069820712,0.5086258966714713,0.0,success
12,-235.26167452753293,-2.3170047131397977,-237.57867924067273,False,0.0,0.0,False,1600,-1.0,0.45615825057029724,0.4778490364551544,0.9220969080924988,1.0,214.83691096305847,1.0,45.436811447143555,easy,0.0,0.0,0.007026965314107925,0.007166297932692588,0.7480791668503384,0.0,contact_alignment
13,2926.575737716921,499.203477073138,3425.779214790059,True,0.0,0.0,False,199,-1.0,1.0,0.48377642035484314,0.924611508846283,1.0,233.81200075149536,1.0,45.3674840927124,easy,0.06733682317204176,0.06726841875304398,0.0006151131047784452,0.0007442652026828128,0.6554276021601136,0.0,success
14,3397.135095167279,499.1827603160202,3896.3178554832994,True,0.0,0.0,False,213,-1.0,1.0,0.48293545842170715,0.9206529855728149,1.0,234.8050618171692,1.0,45.18162161111832,easy,0.05941076018332213,0.05936063231805344,0.0008331949373040434,0.0008993628466180616,0.1894323468613431,0.0,success
15,1778.4277556944235,499.233686066599,2277.6614417610226,True,0.0,0.0,False,169,-1.0,0.25987714529037476,0.48314914107322693,0.9243461489677429,1.0,235.9498405456543,1.0,45.32913416624069,easy,0.07903694894080551,0.07897177420971747,0.0003439390799236469,0.0003828752382434215,1.83226086141994,0.0,success
16,3313.971604358374,499.1899606074202,3813.1615649657942,True,0.0,0.0,False,209,-1.0,1.0,0.4801042377948761,0.9179300665855408,1.0,234.8229455947876,1.0,45.33783555030823,easy,0.0642519500499088,0.06405427626890112,0.0008533096043342099,0.0008831027567829464,0.39596941452976603,0.0,success
17,-247.87127794248136,-2.331583342894766,-250.20286128537612,False,0.0,0.0,False,1600,-1.0,0.46172890067100525,0.48087555170059204,0.9243649244308472,1.0,215.66540718078613,1.0,45.377937853336334,easy,0.0,0.0,0.007374093817701278,0.007374301201716945,0.7801008034685482,0.0,contact_alignment
18,3240.3463166309084,499.1928547509288,3739.539171381837,True,0.0,0.0,False,207,-1.0,0.9942619204521179,0.48505622148513794,0.9278113842010498,1.0,236.30263447761536,1.0,45.33763736486435,easy,0.0645501676468262,0.06439424813805178,0.0005902510386317911,0.0007821275046278726,0.47978519014313803,0.0,success
19,2899.0125211140466,499.20298716074325,3398.21550827479,True,0.0,0.0,False,198,-1.0,0.33334413170814514,0.48415607213974,0.9187779426574707,1.0,235.18237233161926,1.0,45.29377371072769,easy,0.07363805263384783,0.07363356979083244,0.0005049637319823374,0.0006655528709561213,0.9278608331513108,0.0,success
20,-219.0353244499882,-2.3484528013521477,-221.38377725134035,False,0.0,0.0,False,1600,-1.0,0.40104082226753235,0.47793248295783997,0.9215981364250183,1.0,215.93309044837952,1.0,45.45563906431198,easy,0.0,0.0,0.006531678548705578,0.006569137583458444,0.6983322938755613,0.0,contact_alignment
21,3707.3806008533097,499.16630799779057,4206.5469088511,True,0.0,0.0,False,226,-1.0,0.19555890560150146,0.4869960844516754,0.9213667511940002,1.0,234.9646520614624,1.0,45.38351833820343,easy,0.05594304074659949,0.05565529044147932,0.0003336244844996751,0.0005436789597019801,0.32746170055696405,0.0,success
22,-271.21246563109366,-2.3443427997340227,-273.5568084308277,False,0.0,0.0,False,1600,-1.0,0.593722403049469,0.4793521761894226,0.9234542846679688,1.0,215.9834098815918,1.0,45.47426849603653,easy,0.0,0.0,0.007948235590744621,0.007998710629315533,0.8492186118962692,0.0,contact_alignment
23,-240.79356653519426,-2.3281191096012512,-243.12168564479552,False,0.0,0.0,False,1600,-1.0,0.28704819083213806,0.47767913341522217,0.9255677461624146,1.0,215.53055047988892,1.0,45.412655770778656,easy,0.0,0.0,0.007132506746021537,0.007140223190883432,0.7613893380878408,0.0,contact_alignment
24,3158.8572330370316,499.2004536589692,3658.057686696001,True,0.0,0.0,False,209,-1.0,0.9885069131851196,0.47898268699645996,0.9175106287002563,1.0,236.1659026145935,1.0,45.206595063209534,easy,0.06463608957059544,0.06456252162580244,0.0007787080468777343,0.0008630681437790631,0.3982481656208887,0.0,success
25,-238.51470648475402,-2.3578656071355604,-240.87257209188957,False,0.0,0.0,False,1600,-1.0,0.5091205835342407,0.4802398085594177,0.9255050420761108,1.0,214.93903756141663,1.0,45.46605318784714,easy,0.0,0.0,0.007030127440790882,0.007102330049436786,0.7438653120357888,0.0,contact_alignment
26,-260.5687070212146,-2.3368608772713557,-262.90556789848597,False,0.0,0.0,False,1600,-1.0,0.6117473840713501,0.48022955656051636,0.9196307063102722,1.0,215.53698182106018,1.0,45.36448836326599,easy,0.0,0.0,0.007647693851772799,0.007711022007187049,0.8109009527303708,0.0,contact_alignment
27,-288.55600919667063,-2.323540965545175,-290.8795501622158,False,0.0,0.0,False,1600,-1.0,0.43860962986946106,0.48112955689430237,0.923026442527771,1.0,215.5028259754181,1.0,45.39188593626022,easy,0.0,0.0,0.008436959136535253,0.008485114018188515,0.8915209336929832,0.0,contact_alignment
28,3180.413546419328,499.19772718527514,3679.6112736046034,True,0.0,0.0,False,205,-1.0,0.9810110330581665,0.4826888144016266,0.922576367855072,1.0,235.8925473690033,1.0,45.52281975746155,easy,0.06701472498774412,0.06695529481711138,0.0008220845902043972,0.0008851080448507006,0.5147212876444414,0.0,success
