episode,reward_agent1,reward_agent2,reward_total,success,peak_force_N,peak_torque_Nm,jamming,steps,action1_min,action1_max,action2_min,action2_max,kp_min,kp_max,kd_min,kd_max,curriculum,mean_depth_m,min_depth_m,mean_lateral_error_m,max_lateral_error_m,orientation_error_deg,mean_force_all_steps_N,failure_reason
0,3118.0051856783125,499.19550882120893,3617.2006944995214,True,0.0,0.0,False,204,-1.0,0.9852691292762756,0.4828824996948242,0.9193012714385986,1.0,233.63195419311523,1.0,45.357645750045776,easy,0.06584024831284885,0.06581625650845246,0.0009160397659704878,0.0009165469282726477,0.5370586233119149,0.0,success
1,2396.0660140261894,499.2247484401745,2895.290762466364,True,0.0,0.0,False,184,-1.0,0.9753026962280273,0.4850912094116211,0.9213271737098694,1.0,232.7389895915985,1.0,45.302892327308655,easy,0.07479504781277996,0.07475488853271217,0.0009185214765484495,0.000991214782379902,1.1762727095666852,0.0,success
2,3117.9092811251676,499.2035188355233,3617.112799960691,True,0.0,0.0,False,204,-1.0,1.0,0.48261699080467224,0.9169147610664368,1.0,233.62513542175293,1.0,45.135769844055176,easy,0.06571761466821721,0.06570815185336515,0.0009043610135552224,0.0009113477989160386,0.5179101628989439,0.0,success
3,3146.295870524264,496.30538645655196,3642.601256980816,True,38.01720297617081,0.0,False,204,-1.0,0.9942938089370728,0.48070403933525085,0.916610598564148,1.0,232.92797803878784,1.0,45.46830624341965,easy,0.0678097415698637,0.06778584535404211,0.0005804599368040901,0.0007298256788185871,0.5973628748610285,0.18635883811848436,success
4,1696.5581846301825,499.24525085337564,2195.803435483558,True,0.0,0.0,False,166,-1.0,0.370419442653656,0.48248618841171265,0.9173868894577026,1.0,233.4564173221588,1.0,45.31822979450226,easy,0.07353617952981258,0.07345414625234661,0.0006701909408164388,0.0007236154075895508,1.369839354061773,0.0,success
5,3260.2254813201753,499.18801094841155,3759.4134922685867,True,0.0,0.0,False,214,-1.0,0.9929777383804321,0.48479658365249634,0.9182431697845459,1.0,234.62479829788208,1.0,45.4390749335289,easy,0.06394171585609022,0.06389312971061192,0.000888179512478279,0.0009512674321965469,0.3207190915755729,0.0,success
6,-216.37413114409614,-2.337520979381929,-218.71165212347807,False,0.0,0.0,False,1600,-1.0,0.6659648418426514,0.4754973351955414,0.9253139495849609,1.0,216.53490900993347,1.0,45.50165355205536,easy,0.0,0.0,0.006420348240931026,0.006451328433846858,0.6889503703573865,0.0,contact_alignment
7,1631.7809672442256,499.2477290011606,2131.028696245386,True,0.0,0.0,False,164,-1.0,0.994428813457489,0.4874466359615326,0.9173786640167236,1.0,233.42539191246033,1.0,45.26276707649231,easy,0.07267414256455461,0.072543719154093,0.0009130448539987866,0.0009575167175364161,1.3642718624590329,0.0,success
8,3133.793317667301,499.1933141433165,3632.9866318106174,True,0.0,0.0,False,212,-1.0,1.0,0.4843263626098633,0.9170034527778625,1.0,233.4666919708252,1.0,45.409607887268066,easy,0.06236952218731641,0.06231016216249405,0.0007937246493564238,0.0009152133946279123,0.3667988089097597,0.0,success
9,4180.287022675549,499.1541908113754,4679.441213486924,True,0.0,0.0,False,242,-1.0,1.0,0.48403242230415344,0.9244301915168762,1.0,234.20611023902893,1.0,45.26788026094437,easy,0.04340977622746631,0.043300028071193916,0.000823582320343211,0.000833038211707971,0.5588013343615371,0.0,success
10,3447.205892251135,499.1942967927568,3946.4001890438917,True,0.0,0.0,False,215,-1.0,1.0,0.48273035883903503,0.9210909008979797,1.0,234.3431055545807,1.0,45.31019181013107,easy,0.057270607646405014,0.05722889198728265,0.000758198362249818,0.0008408804663000741,0.10169298576928026,0.0,success
11,2749.1755885273064,499.2016947483454,3248.3772832756517,True,0.0,0.0,False,194,-1.0,0.7097678184509277,0.4839658737182617,0.9200010895729065,1.0,233.71951341629028,1.0,45.26499301195145,easy,0.07563120561120128,0.07555757802330348,0.0007566603131314269,0.0008535812028877469,1.1303940817127494,0.0,success
12,1556.7188058606648,499.23976079057604,2055.9585666512407,True,0.0,0.0,False,162,-1.0,0.4601735472679138,0.4810577630996704,0.9195048213005066,1.0,233.3475649356842,1.0,45.12164652347565,easy,0.0716561223299462,0.07153023974378367,0.0007649125243519236,0.0007809583412795806,1.2439053624128875,0.0,success
13,-249.39587347121648,-2.356886483349177,-251.75275995456565,False,0.0,0.0,False,1600,-1.0,0.40521565079689026,0.48183369636535645,0.9209428429603577,1.0,216.6166877746582,1.0,45.45591652393341,easy,0.0,0.0,0.007488579311904178,0.0075741688587245065,0.7898078167327708,0.0,contact_alignment
14,-280.0391298431945,-2.346706611717302,-282.3858364549118,False,0.0,0.0,False,1600,-1.0,0.5279463529586792,0.4815109670162201,0.9251704216003418,1.0,215.37083625793457,1.0,45.39543658494949,easy,0.0,0.0,0.008324154179867517,0.008405456416789771,0.8702424750477491,0.0,contact_alignment
15,-255.55154870591832,-2.3263760917586955,-257.877924797677,False,0.0,0.0,False,1600,-1.0,0.4530816674232483,0.4804324507713318,0.9275883436203003,1.0,216.33831143379211,1.0,45.3786826133728,easy,0.0,0.0,0.007649898479019607,0.007684136571157315,0.7794470387816966,0.0,contact_alignment
16,-257.2457526925726,-2.3355674417366776,-259.58132013430924,False,0.0,0.0,False,1600,-1.0,0.7376285791397095,0.4828954339027405,0.9230336546897888,1.0,215.43415784835815,1.0,45.352396965026855,easy,0.0,0.0,0.007728369007674869,0.007888445055772141,0.788176163730492,0.0,contact_alignment
17,4091.5400327866664,494.45549717564063,4585.995529962307,True,48.50243556723262,0.0,False,238,-1.0,1.0,0.48652368783950806,0.9216224551200867,1.0,234.520982503891,1.0,45.25936871767044,easy,0.0458327762196737,0.04560092986571218,0.0004223888989468792,0.000424338138594629,0.598751152489012,0.20379174608080933,success
18,2473.4109731089534,499.211723020889,2972.6226961298426,True,0.0,0.0,False,186,-1.0,0.5823469161987305,0.48531925678253174,0.9201517701148987,1.0,233.3385145664215,1.0,45.227767527103424,easy,0.07496203080948188,0.07495009649113607,0.0008542801762796625,0.000986326955894575,1.1041061048611387,0.0,success
19,-234.95239983109784,-2.3235357002901322,-237.27593553138797,False,0.0,0.0,False,1600,-1.0,0.26856905221939087,0.47986581921577454,0.9257315397262573,1.0,216.3329029083252,1.0,45.41585385799408,easy,0.0,0.0,0.0070400206601686915,0.0071009496472160755,0.7200607929906435,0.0,contact_alignment
20,-238.1382645786322,-2.3231528284042344,-240.46141740703644,False,0.0,0.0,False,1600,-1.0,0.5855703949928284,0.4806579053401947,0.9245982766151428,1.0,215.72955012321472,1.0,45.45142710208893,easy,0.0,0.0,0.007094100849370608,0.007171860325379596,0.719047376812577,0.0,contact_alignment
21,3193.8450341309544,499.2069624887306,3693.0519966196853,True,0.0,0.0,False,206,-1.0,1.0,0.48304566740989685,0.9258426427841187,1.0,232.66209244728088,1.0,45.214862525463104,easy,0.06499366561089125,0.06498195032620305,0.0005925998119800022,0.0007434959715363576,0.41308014186144604,0.0,success
22,-233.8549696071414,-2.3306323958955844,-236.185602003037,False,0.0,0.0,False,1600,-1.0,0.43676456809043884,0.4787149429321289,0.9267827272415161,1.0,215.4848027229309,1.0,45.47125816345215,easy,0.0,0.0,0.007054865071410246,0.007181281961780773,0.7259535811081466,0.0,contact_alignment
23,2924.6135498486237,499.1963552509892,3423.809905099613,True,0.0,0.0,False,199,-1.0,0.9973217248916626,0.4767499566078186,0.9251105785369873,1.0,233.07799100875854,1.0,45.25894731283188,easy,0.06725502189180513,0.06721596371547661,0.0005866356245312333,0.0007124590245139545,0.6370330417339285,0.0,success
24,3368.3172609811386,499.1978984506262,3867.515159431765,True,0.0,0.0,False,212,-1.0,1.0,0.4797236919403076,0.9233815670013428,1.0,233.0289888381958,1.0,45.19260108470917,easy,0.06004156700180212,0.060026472232328515,0.0008568789939601613,0.0009046284165023406,0.17078119656691024,0.0,success
25,2589.016913234741,499.22198641558845,3088.2388996503296,True,0.0,0.0,False,189,-1.0,0.23423093557357788,0.48329949378967285,0.922408401966095,1.0,234.0921437740326,1.0,45.25597035884857,easy,0.07656179094032509,0.07648212817538905,0.0004348358692621001,0.00046933091267771325,1.1607958975986672,0.0,success
