variant,episode,success,peak_force_N,mean_contact_force_N,peak_torque_Nm,insertion_time_steps,jamming,jamming_steps,position_error_m,orientation_error_deg,peg1_lateral_error_m,peg2_lateral_error_m,peg1_insertion_depth_m,peg2_insertion_depth_m
A_fixed_impedance,0,0,896.2241461031939,26.845146021025972,0.0,1600,1,1565,0.038605758353355564,0.6810935462891251,0.009863786594844595,0.009855649742537664,0.0001216702366434938,0.00010683994881210274
B_unconditioned_agent2,0,0,1381.741247630104,27.053502372049902,0.0,1600,1,1576,0.03987537268850958,0.7990654512391416,0.015067866273159584,0.015067169235541704,4.804119160786019e-05,3.5807305326755745e-05
C_prior_condition,0,0,1381.732583252859,27.052900668660186,0.0,1600,1,1576,0.0398770535661652,0.7991761933334949,0.015073341433223152,0.01507265232822668,4.7899967869378945e-05,3.570798247942014e-05
D_full_A2PO,0,0,1381.740707646688,27.05091553785261,0.0,1600,1,1576,0.039877022788162964,0.7991941257133178,0.015073271826567999,0.015072585596400248,4.7896957931940765e-05,3.567437197345841e-05
