episode,step,stage,stage_index,success,contact,jamming,Kx,Ky,Kz,Krx,Kry,Krz,Dx,Dy,Dz,Drx,Dry,Drz,internal_force_N,grasp_capacity_N,grasp_load_N,grasp_margin_N,Fx,Fy,Fz,Tx,Ty,Tz,peg1_lateral_error,peg2_lateral_error,peg1_depth,peg2_depth,relative_position_error,relative_orientation_error,agent1_action,impedance_action
20260831,0,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0858903447181486e-18, 0.0]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,1,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, -0.015696000307798386, 0.0, 1.0858903447181486e-18, 0.0]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,2,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, -0.0732479989528656, 0.0, 1.0858903447181486e-18, 0.0]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,3,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, -0.17265599966049194, 0.0, 1.0858903447181486e-18, 0.0]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,4,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, -0.3139199912548065, 0.0, 1.0858903447181486e-18, 0.0]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,5,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[-0.0020007709972560406, 0.018216144293546677, -0.3751440942287445, -0.10314588993787766, -0.011700404807925224, -0.00017324445070698857]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,6,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[-0.0028106586541980505, 0.044299934059381485, -0.3845253586769104, -0.24785663187503815, -0.016647784039378166, -0.00041318638250231743]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,7,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[-0.004091364797204733, 0.06458348780870438, -0.3613732159137726, -0.359434574842453, -0.024209966883063316, -0.0007215715595521033]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,8,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[-0.0037489940878003836, 0.0776229277253151, -0.3311113119125366, -0.4299299716949463, -0.022604024037718773, -0.0007840790785849094]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
20260831,9,INITIALIZATION,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[-0.0035440667998045683, 0.0862245261669159, -0.3126443028450012, -0.47546082735061646, -0.021731076762080193, -0.0008239270537160337]","[0.5, 0.6499999761581421, 0.6499999761581421, 0.8500000238418579, 0.8999999761581421, 0.8999999761581421, 0.6499999761581421]"
